x,u
0,0
0.0078125,0.0191957
0.015625,0.0383769
0.0234375,0.0575322
0.03125,0.0766503
0.0390625,0.0957196
0.046875,0.114729
0.0546875,0.133667
0.0625,0.152522
0.0703125,0.171283
0.078125,0.189938
0.0859375,0.208478
0.09375,0.22689
0.101562,0.245164
0.109375,0.263288
0.117188,0.281253
0.125,0.299046
0.132812,0.316658
0.140625,0.334078
0.148438,0.351296
0.15625,0.368301
0.164062,0.385083
0.171875,0.401633
0.179688,0.417939
0.1875,0.433993
0.195312,0.449785
0.203125,0.465305
0.210938,0.480545
0.21875,0.495494
0.226562,0.510144
0.234375,0.524487
0.242188,0.538514
0.25,0.552215
0.257812,0.565584
0.265625,0.578612
0.273438,0.591291
0.28125,0.603614
0.289062,0.615573
0.296875,0.627162
0.304688,0.638372
0.3125,0.649198
0.320312,0.659633
0.328125,0.669671
0.335938,0.679305
0.34375,0.688531
0.351562,0.697342
0.359375,0.705733
0.367188,0.713699
0.375,0.721235
0.382812,0.728337
0.390625,0.735001
0.398438,0.741223
0.40625,0.746998
0.414062,0.752324
0.421875,0.757197
0.429688,0.761614
0.4375,0.765573
0.445312,0.769071
0.453125,0.772107
0.460938,0.774677
0.46875,0.776782
0.476562,0.77842
0.484375,0.779589
0.492188,0.78029
0.5,0.780499
0.507812,0.780398
0.515625,0.779656
0.523438,0.778452
0.53125,0.77678
0.539062,0.774641
0.546875,0.772036
0.554688,0.768966
0.5625,0.765434
0.570312,0.761441
0.578125,0.75699
0.585938,0.752084
0.59375,0.746725
0.601562,0.740918
0.609375,0.734664
0.617188,0.727968
0.625,0.720835
0.632812,0.713268
0.640625,0.705272
0.648438,0.696851
0.65625,0.688012
0.664062,0.678758
0.671875,0.669096
0.679688,0.659032
0.6875,0.648571
0.695312,0.63772
0.703125,0.626485
0.710938,0.614874
0.71875,0.602893
0.726562,0.590549
0.734375,0.57785
0.742188,0.564803
0.75,0.551417
0.757812,0.537699
0.765625,0.523658
0.773438,0.509303
0.78125,0.494641
0.789062,0.479682
0.796875,0.464434
0.804688,0.448908
0.8125,0.433112
0.820312,0.417057
0.828125,0.40075
0.835938,0.384204
0.84375,0.367427
0.851562,0.35043
0.859375,0.333223
0.867188,0.315817
0.875,0.298221
0.882812,0.280448
0.890625,0.262507
0.898438,0.244409
0.90625,0.226166
0.914062,0.207789
0.921875,0.189288
0.929688,0.170675
0.9375,0.151961
0.945312,0.133158
0.953125,0.114277
0.960938,0.0953297
0.96875,0.0763273
0.976562,0.0572815
0.984375,0.0382038
0.992188,0.0191059
1,0
