x,u
0,0
0.005,1.46751e-09
0.01,3.03369e-09
0.015,4.80299e-09
0.02,6.89138e-09
0.025,9.43282e-09
0.03,1.25865e-08
0.035,1.6545e-08
0.04,2.15447e-08
0.045,2.78768e-08
0.05,3.59018e-08
0.055,4.60663e-08
0.06,5.89232e-08
0.065,7.51561e-08
0.07,9.56089e-08
0.075,1.21321e-07
0.08,1.53569e-07
0.085,1.93917e-07
0.09,2.44278e-07
0.095,3.06982e-07
0.1,3.8486e-07
0.105,4.81346e-07
0.11,6.00587e-07
0.115,7.47582e-07
0.12,9.28337e-07
0.125,1.15004e-06
0.13,1.4213e-06
0.135,1.75233e-06
0.14,2.15529e-06
0.145,2.64455e-06
0.15,3.23708e-06
0.155,3.95282e-06
0.16,4.81516e-06
0.165,5.85143e-06
0.17,7.09344e-06
0.175,8.57814e-06
0.18,1.03483e-05
0.185,1.24531e-05
0.19,1.49491e-05
0.195,1.79011e-05
0.2,2.13828e-05
0.205,2.54782e-05
0.21,3.0282e-05
0.215,3.59012e-05
0.22,4.24555e-05
0.225,5.00791e-05
0.23,5.89209e-05
0.235,6.91461e-05
0.24,8.09367e-05
0.245,9.44922e-05
0.25,0.00011003
0.255,0.000127788
0.26,0.00014802
0.265,0.000171001
0.27,0.000197022
0.275,0.000226393
0.28,0.000259441
0.285,0.000296506
0.29,0.000337939
0.295,0.000384103
0.3,0.000435365
0.305,0.000492095
0.31,0.00055466
0.315,0.000623419
0.32,0.000698716
0.325,0.000780876
0.33,0.000870196
0.335,0.000966938
0.34,0.00107132
0.345,0.00118351
0.35,0.00130362
0.355,0.0014317
0.36,0.0015677
0.365,0.00171151
0.37,0.00186293
0.375,0.00202166
0.38,0.00218729
0.385,0.00235932
0.39,0.00253714
0.395,0.00272002
0.4,0.00290714
0.405,0.00309757
0.41,0.00329027
0.415,0.00348412
0.42,0.00367792
0.425,0.00387037
0.43,0.00406014
0.435,0.00424585
0.44,0.00442608
0.445,0.0045994
0.45,0.00476438
0.455,0.00491965
0.46,0.00506384
0.465,0.00519567
0.47,0.00531394
0.475,0.00541757
0.48,0.00550556
0.485,0.00557707
0.49,0.00563143
0.495,0.00566808
0.5,0.00568668
0.505,0.00568702
0.51,0.00566911
0.515,0.00563312
0.52,0.00557938
0.525,0.00550841
0.53,0.00542089
0.535,0.00531766
0.54,0.00519966
0.545,0.00506801
0.55,0.00492388
0.555,0.00476857
0.56,0.00460341
0.565,0.00442981
0.57,0.0042492
0.575,0.00406301
0.58,0.00387266
0.585,0.00367956
0.59,0.00348506
0.595,0.00329044
0.6,0.00309695
0.605,0.00290571
0.61,0.00271777
0.615,0.00253408
0.62,0.00235547
0.625,0.00218269
0.63,0.00201636
0.635,0.00185699
0.64,0.00170499
0.645,0.00156067
0.65,0.00142424
0.655,0.00129581
0.66,0.00117543
0.665,0.00106304
0.67,0.000958537
0.675,0.000861751
0.68,0.000772456
0.685,0.000690387
0.69,0.000615238
0.695,0.000546681
0.7,0.000484364
0.705,0.00042792
0.71,0.000376977
0.715,0.000331158
0.72,0.000290089
0.725,0.000253401
0.73,0.000220737
0.735,0.000191752
0.74,0.000166115
0.745,0.000143513
0.75,0.000123649
0.755,0.000106246
0.76,9.10483e-05
0.765,7.78161e-05
0.77,6.63306e-05
0.775,5.63913e-05
0.78,4.78156e-05
0.785,4.04384e-05
0.79,3.41108e-05
0.795,2.86991e-05
0.8,2.40841e-05
0.805,2.01597e-05
0.81,1.68319e-05
0.815,1.4018e-05
0.82,1.16451e-05
0.825,9.64972e-06
0.83,7.97633e-06
0.835,6.57678e-06
0.84,5.4094e-06
0.845,4.43828e-06
0.85,3.63258e-06
0.855,2.96587e-06
0.86,2.41563e-06
0.865,1.9627e-06
0.87,1.59083e-06
0.875,1.2863e-06
0.88,1.03756e-06
0.885,8.34908e-07
0.89,6.70224e-07
0.895,5.36733e-07
0.9,4.28801e-07
0.905,3.41753e-07
0.91,2.71724e-07
0.915,2.15526e-07
0.92,1.70539e-07
0.925,1.34614e-07
0.93,1.05996e-07
0.935,8.32511e-08
0.94,6.52152e-08
0.945,5.09431e-08
0.95,3.96701e-08
0.955,3.0778e-08
0.96,2.37684e-08
0.965,1.82391e-08
0.97,1.38655e-08
0.975,1.03848e-08
0.98,7.58264e-09
0.985,5.28237e-09
0.99,3.33537e-09
0.995,1.61314e-09
1,0
