x,u
0,0
0.015625,0.0371281
0.03125,0.0751803
0.046875,0.113947
0.0625,0.153217
0.078125,0.192778
0.09375,0.232424
0.109375,0.271959
0.125,0.311197
0.140625,0.349965
0.15625,0.388105
0.171875,0.42547
0.1875,0.461929
0.203125,0.49736
0.21875,0.531654
0.234375,0.564711
0.25,0.59644
0.265625,0.62676
0.28125,0.655594
0.296875,0.682875
0.3125,0.708542
0.328125,0.732543
0.34375,0.754833
0.359375,0.775374
0.375,0.794135
0.390625,0.811091
0.40625,0.82622
0.421875,0.839498
0.4375,0.850893
0.453125,0.860362
0.46875,0.867843
0.484375,0.873258
0.5,0.876516
0.515625,0.877523
0.53125,0.876196
0.546875,0.87248
0.5625,0.866354
0.578125,0.857846
0.59375,0.84702
0.609375,0.833974
0.625,0.818823
0.640625,0.801685
0.65625,0.782667
0.671875,0.761863
0.6875,0.739349
0.703125,0.715186
0.71875,0.689425
0.734375,0.662113
0.75,0.633295
0.765625,0.603018
0.78125,0.57133
0.796875,0.538283
0.8125,0.50393
0.828125,0.468321
0.84375,0.431506
0.859375,0.393525
0.875,0.354414
0.890625,0.314192
0.90625,0.272868
0.921875,0.230433
0.9375,0.186858
0.953125,0.142099
0.96875,0.0960911
0.984375,0.048756
1,0
