mode,threads,Nx,Ny,Nz,dt,steps,runtime_s,min,mean,max,mass,l2,peak,peak_x,peak_y
advection_2d,2,256,256,0,3.66211e-05,400,0.218149,0,0.0386665,0.679705,2553.88,873.995,0.679705,0.257812,0.5
forcing_2d,2,200,200,0,2.4e-05,300,0.105974,0,0.000279937,0.00568702,11.3097,0.0318983,0.00568702,0.505,0.5
advection_2d,1,256,256,0,3.66211e-05,400,0.252074,0,0.0386665,0.679705,2553.88,873.995,0.679705,0.257812,0.5
advection_2d,2,256,256,0,3.66211e-05,400,0.185011,0,0.0386665,0.679705,2553.88,873.995,0.679705,0.257812,0.5
advection_2d,4,256,256,0,3.66211e-05,400,0.155189,0,0.0386665,0.679705,2553.88,873.995,0.679705,0.257812,0.5
advection_2d,8,256,256,0,3.66211e-05,400,0.188984,0,0.0386665,0.679705,2553.88,873.995,0.679705,0.257812,0.5
advection_2d,2,256,256,0,3.66211e-05,400,0.209964,0,0.0386665,0.679705,2553.88,873.995,0.679705,0.257812,0.5
forcing_2d,2,200,200,0,2.4e-05,300,0.100837,0,0.000279937,0.00568702,11.3097,0.0318983,0.00568702,0.505,0.5
advection_2d,2,256,256,0,3.66211e-05,400,0.342559,0,0.0386665,0.679705,2553.88,873.995,0.679705,0.257812,0.5
diffusion_2d,2,128,128,0,5e-05,400,0.135721,0,0.311349,0.780499,5181.16,2494.43,0.780499,0.5,0.5
advection_2d,2,256,256,0,3.66211e-05,400,0.31235,0,0.0386665,0.679705,2553.88,873.995,0.679705,0.257812,0.5
forcing_2d,2,200,200,0,2.4e-05,300,0.145291,0,0.000279937,0.00568702,11.3097,0.0318983,0.00568702,0.505,0.5
